id_day,day,id_teacher,id_space,name,id_building,id_headquarters,building_name,id_university_subject,full_name,semesters,university_subject_code,entry_time,departure_time,group,hours,id_authorization_program,id_program,program_code,program_full_name,id_university_period,id_day_time_slot,id_time_slot
2,Tuesday,T027,6,Salon 6,2,1,Sede Villa Campestre,504,Teoria Sociológica I,2,207032M,14:00:00,17:00:00,50,3,6,5,3249,Trabajo social,10,13,5
3,Wednesday,T113,1,Salon 1,2,1,Sede Villa Campestre,318,Física de la construcción,2,502005C,14:00:00,18:00:00,50,4,5,4,3554,Construccion,5,21,5
4,Thursday,T007,23,Sala De Sistemas 1	,3,1,Sede Principe,793,Fundamentos de Programación Orientada a Eventos,3,750014C,18:20:00,21:20:00,51,3,29,8,2724,Tecnología en Desarrollo de Software,6,32,8
1,Monday,T158,23,Sala De Sistemas 1	,3,1,Sede Principe,947,Ciberseguridad,5,750024C,06:00:00,09:00:00,51,3,14,8,2724,Tecnología en Desarrollo de Software,6,61,12
3,Wednesday,T026,23,Sala De Sistemas 1	,3,1,Sede Principe,198,Estadística II,4,801031M,18:20:00,21:20:00,50,3,1,2,3845,Administracion de empresas,3,23,7
4,Thursday,T013,10,Sala de Sistemas 3,3,1,Sede Principe,194,Matemática para finanzas,3,802013C,07:00:00,10:00:00,50,3,19,2,3845,Administracion de empresas,9,25,1
2,Tuesday,T084,4,Salon 4,2,1,Sede Villa Campestre,745,Investigación y Gestión de Operaciones,4,801095C,07:00:00,10:00:00,50,3,18,6,3841,Contaduría Publica,4,9,1
2,Tuesday,T034,10,Sala de Sistemas 3,3,1,Sede Principe,2,Matemáticas Básicas,1,111023C,10:00:00,13:00:00,53,3,2,1,3743,Ingeniería de Sistemas,8,10,2
4,Thursday,T024,3,Salon 3,2,1,Sede Villa Campestre,973,Contabilidades especiales I,5,802029C,18:20:00,21:20:00,50,3,26,6,3841,Contaduría Publica,8,31,7
1,Monday,T105,15,Sala de Sistemas 4,3,1,Sede Principe,72,Cálculo Monovariable,2,111021C,15:00:00,18:00:00,52,3,2,1,3743,Ingeniería de Sistemas,8,6,6
