id_day,day,value_day,id_time_slot,start_time,end_time,id_day_time_slot
1,Monday,1,1,07:00:00,10:00:00,1
1,Monday,1,2,10:00:00,13:00:00,2
1,Monday,1,3,09:00:00,12:00:00,3
1,Monday,1,4,13:00:00,16:00:00,4
1,Monday,1,5,14:00:00,17:00:00,5
1,Monday,1,6,15:00:00,18:00:00,6
1,Monday,1,7,18:20:00,21:20:00,7
1,Monday,1,8,18:20:00,22:20:00,8
1,Monday,1,10,17:00:00,19:00:00,51
1,Monday,1,11,17:00:00,20:00:00,56
1,Monday,1,12,06:00:00,09:00:00,61
2,Tuesday,2,1,07:00:00,10:00:00,9
2,Tuesday,2,2,10:00:00,13:00:00,10
2,Tuesday,2,3,09:00:00,12:00:00,11
2,Tuesday,2,4,13:00:00,16:00:00,12
2,Tuesday,2,5,14:00:00,17:00:00,13
2,Tuesday,2,6,15:00:00,18:00:00,14
2,Tuesday,2,7,18:20:00,21:20:00,15
2,Tuesday,2,8,18:20:00,22:20:00,16
2,Tuesday,2,9,06:00:00,09:00:00,49
2,Tuesday,2,10,17:00:00,19:00:00,52
2,Tuesday,2,11,17:00:00,20:00:00,57
2,Tuesday,2,12,06:00:00,09:00:00,62
3,Wednesday,3,1,07:00:00,10:00:00,17
3,Wednesday,3,2,10:00:00,13:00:00,18
3,Wednesday,3,3,09:00:00,12:00:00,19
3,Wednesday,3,4,13:00:00,16:00:00,20
3,Wednesday,3,5,14:00:00,17:00:00,21
3,Wednesday,3,6,15:00:00,18:00:00,22
3,Wednesday,3,7,18:20:00,21:20:00,23
3,Wednesday,3,8,18:20:00,22:20:00,24
3,Wednesday,3,9,06:00:00,09:00:00,50
3,Wednesday,3,10,17:00:00,19:00:00,53
3,Wednesday,3,11,17:00:00,20:00:00,58
3,Wednesday,3,12,06:00:00,09:00:00,63
4,Thursday,4,1,07:00:00,10:00:00,25
4,Thursday,4,2,10:00:00,13:00:00,26
4,Thursday,4,3,09:00:00,12:00:00,27
4,Thursday,4,4,13:00:00,16:00:00,28
4,Thursday,4,5,14:00:00,17:00:00,29
4,Thursday,4,6,15:00:00,18:00:00,30
4,Thursday,4,7,18:20:00,21:20:00,31
4,Thursday,4,8,18:20:00,22:20:00,32
4,Thursday,4,10,17:00:00,19:00:00,54
4,Thursday,4,11,17:00:00,20:00:00,59
4,Thursday,4,12,06:00:00,09:00:00,64
5,Friday,5,1,07:00:00,10:00:00,33
5,Friday,5,2,10:00:00,13:00:00,34
5,Friday,5,3,09:00:00,12:00:00,35
5,Friday,5,4,13:00:00,16:00:00,36
5,Friday,5,5,14:00:00,17:00:00,37
5,Friday,5,6,15:00:00,18:00:00,38
5,Friday,5,7,18:20:00,21:20:00,39
5,Friday,5,8,18:20:00,22:20:00,40
5,Friday,5,10,17:00:00,19:00:00,55
5,Friday,5,11,17:00:00,20:00:00,60
5,Friday,5,12,06:00:00,09:00:00,65
6,Saturday,6,1,07:00:00,10:00:00,41
6,Saturday,6,2,10:00:00,13:00:00,42
6,Saturday,6,3,09:00:00,12:00:00,43
6,Saturday,6,4,13:00:00,16:00:00,44
6,Saturday,6,5,14:00:00,17:00:00,45
6,Saturday,6,6,15:00:00,18:00:00,46
6,Saturday,6,7,18:20:00,21:20:00,47
6,Saturday,6,8,18:20:00,22:20:00,48
6,Saturday,6,11,17:00:00,20:00:00,66
6,Saturday,6,10,17:00:00,19:00:00,67
6,Saturday,6,13,05:00:00,08:00:00,68
