course_groups,log10_raw,log10_intensity,log10_structured,is_real_instance
25,722.5,146.5,58.2,0
50,1444.9,293.1,116.5,0
75,2167.4,439.6,174.7,0
100,2889.9,586.1,232.9,0
125,3612.4,732.6,291.2,0
150,4334.8,879.2,349.4,0
175,5057.3,1025.7,407.6,0
200,5779.8,1172.2,465.9,0
225,6502.2,1318.7,524.1,0
250,7224.7,1465.3,582.3,0
275,7947.2,1611.8,640.6,0
286,8265.1,1676.3,666.2,1
300,8669.7,1758.3,698.8,0
310,8958.7,1816.9,722.1,1
315,9103.1,1846.2,733.7,1
325,9392.1,1904.8,757.0,0
339,9796.7,1986.9,789.6,1
345,9970.1,2022.1,803.6,1
350,10114.6,2051.4,815.3,0
363,10490.3,2127.6,845.5,1
375,10837.1,2197.9,873.5,0
385,11126.1,2256.5,896.8,1
391,11299.5,2291.7,910.8,1
400,11559.6,2344.4,931.7,0
