id_space,name,status,created_at,updated_at,id_building,sw_virtual,maximum_capacity,sw_booking
29,Planta de Alimentos,True,2023-02-10 17:11:34,2023-02-10 17:11:34,1,0,25,True
1,Salon 1,True,2022-12-08 21:03:53,2022-12-08 21:03:53,2,0,36,True
2,Salon 2,True,2022-12-08 21:04:08,2022-12-08 21:04:08,2,0,36,True
3,Salon 3,True,2022-12-08 21:04:28,2022-12-08 21:04:28,2,0,42,True
4,Salon 4,True,2022-12-08 21:04:42,2022-12-08 21:04:42,2,0,42,True
5,Salon 5,True,2022-12-08 21:04:55,2022-12-08 21:04:55,2,0,44,True
6,Salon 6,True,2022-12-08 21:05:18,2022-12-08 21:05:18,2,0,37,True
8,salon 1,True,,,3,0,38,True
9,salon 2,True,,,3,0,25,True
11,salon 4,True,,,3,0,53,True
12,salon 5,True,,,3,0,58,True
13,salon 6,True,,,3,0,54,True
14,salon 7,True,,,3,0,55,True
16,salon 9,True,,,3,0,62,True
18,salon 11,True,,,3,0,30,True
19,salon 12,True,,,3,0,40,True
20,salon 13,True,,,3,0,47,True
21,salon 14,True,,,3,0,46,True
22,salon 15,True,,,3,0,39,True
7,Sala De Sistemas 1,True,2022-12-08 21:06:51,2022-12-08 21:06:51,2,0,28,True
23,Sala De Sistemas 1	,True,2022-12-19 15:54:08,2022-12-19 15:54:08,3,0,30,True
24,Sala De Sistemas 2,True,2022-12-19 15:54:25,2022-12-19 15:54:25,3,0,30,True
25,Coliseo,True,2023-02-09 13:02:19,2023-02-09 13:02:19,2,0,60,True
26,Laboratorio de Alimentos,True,2023-02-09 13:02:50,2023-02-09 13:02:50,2,0,25,True
27,Laboratorio de Electronica,True,2023-02-09 13:03:06,2023-02-09 13:03:06,2,0,25,True
28,Laboratorio de Fisica,True,2023-02-10 17:11:16,2023-02-10 17:11:16,1,0,25,True
17,salon 10,True,,,3,0,60,True
31,Salon 1,True,2023-08-08 21:39:03,2023-08-08 21:39:03,1,0,30,True
10,Sala de Sistemas 3,True,,,3,0,54,True
30,"Practicas Profesionales, Investigativas o equivalentes",False,2023-02-14 17:32:24,2023-02-14 17:32:24,2,1,100,True
15,Sala de Sistemas 4,True,,,3,0,62,True
