hour,day,clock,rooms_used,rooms_free,clash_rooms
1,0,6,0,30,0
2,0,7,15,15,0
3,0,8,18,12,0
4,0,9,20,10,0
5,0,10,12,18,1
6,0,11,10,20,1
7,0,12,6,24,1
8,0,13,0,30,0
9,0,14,12,18,1
10,0,15,20,10,1
11,0,16,21,9,1
12,0,17,15,15,1
13,0,18,19,11,0
14,0,19,19,11,0
15,0,20,20,10,2
16,0,21,19,11,0
17,1,6,0,30,0
18,1,7,13,17,1
19,1,8,20,10,1
20,1,9,20,10,1
21,1,10,24,6,1
22,1,11,23,7,1
23,1,12,15,15,1
24,1,13,0,30,0
25,1,14,14,16,0
26,1,15,23,7,0
27,1,16,24,6,0
28,1,17,14,16,0
29,1,18,20,10,0
30,1,19,20,10,0
31,1,20,20,10,0
32,1,21,20,10,0
33,2,6,0,30,0
34,2,7,9,21,0
35,2,8,17,13,0
36,2,9,18,12,0
37,2,10,22,8,0
38,2,11,22,8,0
39,2,12,12,18,0
40,2,13,0,30,0
41,2,14,10,20,0
42,2,15,22,8,0
43,2,16,23,7,0
44,2,17,17,13,0
45,2,18,21,9,0
46,2,19,21,9,0
47,2,20,21,9,0
48,2,21,20,10,0
49,3,6,0,30,0
50,3,7,12,18,2
51,3,8,16,14,2
52,3,9,15,15,2
53,3,10,23,7,2
54,3,11,20,10,1
55,3,12,14,16,1
56,3,13,1,29,0
57,3,14,13,17,0
58,3,15,24,6,0
59,3,16,25,5,0
60,3,17,19,11,0
61,3,18,20,10,0
62,3,19,20,10,0
63,3,20,20,10,0
64,3,21,20,10,0
65,4,6,0,30,0
66,4,7,11,19,3
67,4,8,16,14,4
68,4,9,16,14,4
69,4,10,19,11,2
70,4,11,16,14,1
71,4,12,12,18,0
72,4,13,1,29,0
73,4,14,12,18,1
74,4,15,22,8,1
75,4,16,21,9,1
76,4,17,14,16,1
77,4,18,17,13,0
78,4,19,17,13,0
79,4,20,17,13,0
80,4,21,16,14,0
81,5,6,0,30,0
82,5,7,6,24,0
83,5,8,11,19,0
84,5,9,10,20,0
85,5,10,7,23,0
86,5,11,5,25,0
87,5,12,2,28,0
88,5,13,0,30,0
89,5,14,13,17,0
90,5,15,14,16,0
91,5,16,15,15,0
92,5,17,8,22,0
93,5,18,7,23,0
94,5,19,6,24,0
95,5,20,2,28,0
96,5,21,2,28,0
